"Subject","Start Date","Start Time","End Date","End Time","All Day Event","Description","Location","Private"
"ГВВ; БГЭУ: 2/300; (ИТ); 25 ДМЛ-2; (зач-1); неделя: 18","12/29/2025","13:05","12/29/2025","14:25","False","Гедранович Валентина Васильевна; БГЭУ: 2/300; (Информационные технологии); 25 ДМЛ-2; (зачет); неделя: 18","БГЭУ: 2/300","True"
"ГВВ; БГЭУ: 2/300; (ИТ); 25 ДМЛ-2; (зач-2); неделя: 18","12/29/2025","14:35","12/29/2025","15:55","False","Гедранович Валентина Васильевна; БГЭУ: 2/300; (Информационные технологии); 25 ДМЛ-2; (зачет); неделя: 18","БГЭУ: 2/300","True"
"ГВВ; БГЭУ: 4/805; (ИТ); 25 ЗКП-1; (лек-1); неделя: 13","11/24/2025","16:05","11/24/2025","17:25","False","Гедранович Валентина Васильевна; БГЭУ: 4/805; (Информационные технологии); 25 ЗКП-1; (лекции); неделя: 13","БГЭУ: 4/805","True"
"ГВВ; БГЭУ: 4/801; (ИТ); 25 ЗКП-1; (лек-2); неделя: 13","11/24/2025","17:45","11/24/2025","19:05","False","Гедранович Валентина Васильевна; БГЭУ: 4/801; (Информационные технологии); 25 ЗКП-1; (лекции); неделя: 13","БГЭУ: 4/801","True"
"ГВВ; БГЭУ: 1/705; (УИИОИАИТ); 22 ДЦИ-1; (лек-1); неделя: 13","11/27/2025","16:05","11/27/2025","17:25","False","Гедранович Валентина Васильевна; БГЭУ: 1/705; (Управление информационной инфраструктурой организации и аудит информационных технологий); 22 ДЦИ-1; (лекции); неделя: 13","БГЭУ: 1/705","True"
"ГВВ; БГЭУ: 4/406; (ИТ); 25 ЗКП-1; (лек-3); неделя: 13","11/27/2025","17:45","11/27/2025","19:05","False","Гедранович Валентина Васильевна; БГЭУ: 4/406; (Информационные технологии); 25 ЗКП-1; (лекции); неделя: 13","БГЭУ: 4/406","True"
"ГВВ; БГЭУ: 2/401; (УИИОИАИТ); 22 ДЦИ-11; (Лаб-1); неделя: 13","11/28/2025","16:05","11/28/2025","17:25","False","Гедранович Валентина Васильевна; БГЭУ: 2/401; (Управление информационной инфраструктурой организации и аудит информационных технологий); 22 ДЦИ-11; (Лабораторные занятия); неделя: 13","БГЭУ: 2/401","True"
"ГВВ; БГЭУ: 4/601; (ИТ); 25 ЗКП-1а; (Лаб-1); неделя: 13","11/28/2025","17:45","11/28/2025","19:05","False","Гедранович Валентина Васильевна; БГЭУ: 4/601; (Информационные технологии); 25 ЗКП-1а; (Лабораторные занятия); неделя: 13","БГЭУ: 4/601","True"
"ГВВ; БГЭУ: 2/405; (УИИОИАИТ); 22 ДЦИ-21; (Лаб-1); неделя: 13","11/28/2025","19:15","11/28/2025","20:35","False","Гедранович Валентина Васильевна; БГЭУ: 2/405; (Управление информационной инфраструктурой организации и аудит информационных технологий); 22 ДЦИ-21; (Лабораторные занятия); неделя: 13","БГЭУ: 2/405","True"
"ГВВ; БГЭУ: 3/242; (УИИОИАИТ); 22 ДЦИ-2; (все-1); неделя: 16","12/15/2025","16:05","12/15/2025","17:25","False","Гедранович Валентина Васильевна; БГЭУ: 3/242; (Управление информационной инфраструктурой организации и аудит информационных технологий); 22 ДЦИ-2; (всего); неделя: 16","БГЭУ: 3/242","True"
"ГВВ; БГЭУ: 2/405; (УИИОИАИТ); 22 ДЦИ-2; (экз-1); неделя: 16","12/16/2025","13:05","12/16/2025","14:25","False","Гедранович Валентина Васильевна; БГЭУ: 2/405; (Управление информационной инфраструктурой организации и аудит информационных технологий); 22 ДЦИ-2; (экзамен); неделя: 16","БГЭУ: 2/405","True"
"ГВВ; БГЭУ: 2/405; (УИИОИАИТ); 22 ДЦИ-2; (экз-2); неделя: 16","12/16/2025","14:35","12/16/2025","15:55","False","Гедранович Валентина Васильевна; БГЭУ: 2/405; (Управление информационной инфраструктурой организации и аудит информационных технологий); 22 ДЦИ-2; (экзамен); неделя: 16","БГЭУ: 2/405","True"
"ГВВ; БГЭУ: 2/405; (УИИОИАИТ); 22 ДЦИ-2; (экз-3); неделя: 16","12/16/2025","16:05","12/16/2025","17:25","False","Гедранович Валентина Васильевна; БГЭУ: 2/405; (Управление информационной инфраструктурой организации и аудит информационных технологий); 22 ДЦИ-2; (экзамен); неделя: 16","БГЭУ: 2/405","True"
"ГВВ; БГЭУ: 3/136а; (УИИОИАИТ); 22 ДЦИ-1; (все-1); неделя: 16","12/19/2025","16:05","12/19/2025","17:25","False","Гедранович Валентина Васильевна; БГЭУ: 3/136а; (Управление информационной инфраструктурой организации и аудит информационных технологий); 22 ДЦИ-1; (всего); неделя: 16","БГЭУ: 3/136а","True"
"ГВВ; БГЭУ: 2/301; (УИИОИАИТ); 22 ДЦИ-1; (экз-1); неделя: 16","12/20/2025","9:45","12/20/2025","11:05","False","Гедранович Валентина Васильевна; БГЭУ: 2/301; (Управление информационной инфраструктурой организации и аудит информационных технологий); 22 ДЦИ-1; (экзамен); неделя: 16","БГЭУ: 2/301","True"
"ГВВ; БГЭУ: 2/301; (УИИОИАИТ); 22 ДЦИ-1; (экз-2); неделя: 16","12/20/2025","11:15","12/20/2025","12:35","False","Гедранович Валентина Васильевна; БГЭУ: 2/301; (Управление информационной инфраструктурой организации и аудит информационных технологий); 22 ДЦИ-1; (экзамен); неделя: 16","БГЭУ: 2/301","True"
"ГВВ; БГЭУ: 2/301; (УИИОИАИТ); 22 ДЦИ-1; (экз-3); неделя: 16","12/20/2025","13:05","12/20/2025","14:25","False","Гедранович Валентина Васильевна; БГЭУ: 2/301; (Управление информационной инфраструктурой организации и аудит информационных технологий); 22 ДЦИ-1; (экзамен); неделя: 16","БГЭУ: 2/301","True"
"ГВВ; БГЭУ: 1/603; (ИТ); 25 ДМЛ-1,2,325 ДМР-1; (лек-1); неделя: 3","09/16/2025","8:15","09/16/2025","9:35","False","Гедранович Валентина Васильевна; БГЭУ: 1/603; (Информационные технологии); 25 ДМЛ-1,2,325 ДМР-1; (лекции); неделя: 3","БГЭУ: 1/603","True"
"ГВВ; БГЭУ: 4/705; (ИТ); 25 ЗКП-1; (лек-4); неделя: 3","09/16/2025","9:45","09/16/2025","11:05","False","Гедранович Валентина Васильевна; БГЭУ: 4/705; (Информационные технологии); 25 ЗКП-1; (лекции); неделя: 3","БГЭУ: 4/705","True"
"ГВВ; БГЭУ: 4/705; (ИТ); 25 ЗКП-1; (лек-5); неделя: 3","09/16/2025","11:15","09/16/2025","12:35","False","Гедранович Валентина Васильевна; БГЭУ: 4/705; (Информационные технологии); 25 ЗКП-1; (лекции); неделя: 3","БГЭУ: 4/705","True"
"ГВВ; БГЭУ: 2/401; (УИИОИАИТ); 22 ДЦИ-11; (Лаб-2); неделя: 3","09/19/2025","16:05","09/19/2025","17:25","False","Гедранович Валентина Васильевна; БГЭУ: 2/401; (Управление информационной инфраструктурой организации и аудит информационных технологий); 22 ДЦИ-11; (Лабораторные занятия); неделя: 3","БГЭУ: 2/401","True"
"ГВВ; БГЭУ: 2/405; (УИИОИАИТ); 22 ДЦИ-21; (Лаб-2); неделя: 3","09/19/2025","19:15","09/19/2025","20:35","False","Гедранович Валентина Васильевна; БГЭУ: 2/405; (Управление информационной инфраструктурой организации и аудит информационных технологий); 22 ДЦИ-21; (Лабораторные занятия); неделя: 3","БГЭУ: 2/405","True"
"ГВВ; БГЭУ: 1/603; (ИТ); 25 ДМЛ-1,2,325 ДМР-1; (лек-2); неделя: 5","09/30/2025","8:15","09/30/2025","9:35","False","Гедранович Валентина Васильевна; БГЭУ: 1/603; (Информационные технологии); 25 ДМЛ-1,2,325 ДМР-1; (лекции); неделя: 5","БГЭУ: 1/603","True"
"ГВВ; БГЭУ: 2/401; (УИИОИАИТ); 22 ДЦИ-11; (Лаб-3); неделя: 5","10/03/2025","16:05","10/03/2025","17:25","False","Гедранович Валентина Васильевна; БГЭУ: 2/401; (Управление информационной инфраструктурой организации и аудит информационных технологий); 22 ДЦИ-11; (Лабораторные занятия); неделя: 5","БГЭУ: 2/401","True"
"ГВВ; БГЭУ: 2/402; (УИИОИАИТ); 22 ДЦИ-21; (Лаб-3); неделя: 5","10/03/2025","17:45","10/03/2025","19:05","False","Гедранович Валентина Васильевна; БГЭУ: 2/402; (Управление информационной инфраструктурой организации и аудит информационных технологий); 22 ДЦИ-21; (Лабораторные занятия); неделя: 5","БГЭУ: 2/402","True"
"ГВВ; БГЭУ: 1/603; (ИТ); 25 ДМЛ-1,2,325 ДМР-1; (лек-3); неделя: 7","10/14/2025","8:15","10/14/2025","9:35","False","Гедранович Валентина Васильевна; БГЭУ: 1/603; (Информационные технологии); 25 ДМЛ-1,2,325 ДМР-1; (лекции); неделя: 7","БГЭУ: 1/603","True"
"ГВВ; БГЭУ: 2/401; (УИИОИАИТ); 22 ДЦИ-11; (Лаб-4); неделя: 7","10/17/2025","16:05","10/17/2025","17:25","False","Гедранович Валентина Васильевна; БГЭУ: 2/401; (Управление информационной инфраструктурой организации и аудит информационных технологий); 22 ДЦИ-11; (Лабораторные занятия); неделя: 7","БГЭУ: 2/401","True"
"ГВВ; БГЭУ: 2/402; (УИИОИАИТ); 22 ДЦИ-21; (Лаб-4); неделя: 7","10/17/2025","17:45","10/17/2025","19:05","False","Гедранович Валентина Васильевна; БГЭУ: 2/402; (Управление информационной инфраструктурой организации и аудит информационных технологий); 22 ДЦИ-21; (Лабораторные занятия); неделя: 7","БГЭУ: 2/402","True"
"ГВВ; БГЭУ: 1/603; (ИТ); 25 ДМЛ-1,2,325 ДМР-1; (лек-4); неделя: 9","10/28/2025","8:15","10/28/2025","9:35","False","Гедранович Валентина Васильевна; БГЭУ: 1/603; (Информационные технологии); 25 ДМЛ-1,2,325 ДМР-1; (лекции); неделя: 9","БГЭУ: 1/603","True"
"ГВВ; БГЭУ: 2/401; (УИИОИАИТ); 22 ДЦИ-11; (Лаб-5); неделя: 9","10/31/2025","16:05","10/31/2025","17:25","False","Гедранович Валентина Васильевна; БГЭУ: 2/401; (Управление информационной инфраструктурой организации и аудит информационных технологий); 22 ДЦИ-11; (Лабораторные занятия); неделя: 9","БГЭУ: 2/401","True"
"ГВВ; БГЭУ: 2/402; (УИИОИАИТ); 22 ДЦИ-21; (Лаб-5); неделя: 9","10/31/2025","17:45","10/31/2025","19:05","False","Гедранович Валентина Васильевна; БГЭУ: 2/402; (Управление информационной инфраструктурой организации и аудит информационных технологий); 22 ДЦИ-21; (Лабораторные занятия); неделя: 9","БГЭУ: 2/402","True"
"ГВВ; БГЭУ: 2/103; (ИТ); 25 ЗКП-1; (зач-1); неделя: 15","12/09/2025","9:45","12/09/2025","11:05","False","Гедранович Валентина Васильевна; БГЭУ: 2/103; (Информационные технологии); 25 ЗКП-1; (зачет); неделя: 15","БГЭУ: 2/103","True"
"ГВВ; БГЭУ: 2/103; (ИТ); 25 ЗКП-1; (зач-2); неделя: 15","12/09/2025","11:15","12/09/2025","12:35","False","Гедранович Валентина Васильевна; БГЭУ: 2/103; (Информационные технологии); 25 ЗКП-1; (зачет); неделя: 15","БГЭУ: 2/103","True"
"ГВВ; БГЭУ: 2/401; (УИИОИАИТ); 22 ДЦИ-11; (Лаб-6); неделя: 15","12/12/2025","16:05","12/12/2025","17:25","False","Гедранович Валентина Васильевна; БГЭУ: 2/401; (Управление информационной инфраструктурой организации и аудит информационных технологий); 22 ДЦИ-11; (Лабораторные занятия); неделя: 15","БГЭУ: 2/401","True"
